	chr	start	end	center	Sld3_G1_start	Sld3_G1_end	Sld3_G1_center	ARS_SGD	ARS_early	ARS_late
561	chrXIII	432975	433125	433050				0	0	0
562	chrXIII	438922	439072	438997				0	0	0
563	chrXIII	468401	468551	468476				1	0	1
564	chrXIII	475526	475676	475601				0	0	0
565	chrXIII	482027	482177	482102				0	0	0
566	chrXIII	483255	483405	483330				0	0	0
567	chrXIII	503539	503689	503614				1	0	1
568	chrXIII	520617	520767	520692				0	0	0
569	chrXIII	535590	535740	535665				1	1	0
570	chrXIII	544929	545079	545004				0	0	0
571	chrXIII	554475	554625	554550				1	0	0
572	chrXIII	568412	568562	568487				0	0	0
573	chrXIII	611141	611291	611216				1	1	0
574	chrXIII	626707	626857	626782				0	0	0
575	chrXIII	634489	634639	634564				1	0	0
576	chrXIII	649333	649483	649408				1	1	0
577	chrXIII	688885	689035	688960				0	0	0
578	chrXIII	718333	718483	718408				0	0	0
579	chrXIII	725670	725820	725745				0	0	0
580	chrXIII	740053	740203	740128				0	0	0
581	chrXIII	756979	757129	757054				0	0	0
582	chrXIII	758223	758373	758298				1	0	1
583	chrXIII	772675	772825	772750				1	0	0
584	chrXIII	805113	805263	805188				1	0	0
585	chrXIII	815335	815485	815410	814193	814343	814268.0	1	1	0
586	chrXIII	837445	837595	837520				0	0	0
587	chrXIII	865305	865455	865380				0	0	0
588	chrXIII	878693	878843	878768				0	0	0
589	chrXIII	897857	898007	897932				1	1	0
590	chrXIII	905257	905407	905332				0	0	0
591	chrXIII	905821	905971	905896				0	0	0
592	chrXIII	917849	917999	917924				1	0	0
593	chrXIV	7288	7438	7363				0	0	0
594	chrXIV	9969	10119	10044				0	0	0
595	chrXIV	14677	14827	14752				0	0	0
596	chrXIV	28584	28734	28659				1	0	1
597	chrXIV	61648	61798	61723				1	0	1
598	chrXIV	84083	84233	84158				0	0	0
599	chrXIV	89504	89654	89579				1	1	0
600	chrXIV	102919	103069	102994				0	0	0
601	chrXIV	116651	116801	116726				0	0	0
602	chrXIV	126547	126697	126622				1	0	1
603	chrXIV	157387	157537	157462				0	0	0
604	chrXIV	169735	169885	169810				1	0	1
605	chrXIV	181024	181174	181099				0	0	0
606	chrXIV	196107	196257	196182				1	0	1
607	chrXIV	227185	227335	227260				0	0	0
608	chrXIV	235729	235879	235804				0	0	0
609	chrXIV	250177	250327	250252				1	0	1
610	chrXIV	279943	280093	280018				1	0	1
611	chrXIV	321989	322139	322064	321985	322135	322060.0	1	1	0
612	chrXIV	343303	343453	343378				0	0	0
613	chrXIV	352705	352855	352780				0	0	0
614	chrXIV	358887	359037	358962				0	0	0
615	chrXIV	412253	412403	412328				1	0	1
616	chrXIV	449521	449671	449596				1	0	1
617	chrXIV	498950	499100	499025				1	0	1
618	chrXIV	539755	539905	539830				0	0	0
619	chrXIV	545968	546118	546043	546024	546174	546099.0	1	0	0
620	chrXIV	561259	561409	561334	561255	561405	561330.0	1	1	0
621	chrXIV	581727	581877	581802	581728	581878	581803.0	0	0	0
622	chrXIV	586874	587024	586949				0	0	0
623	chrXIV	609509	609659	609584	609528	609678	609603.0	1	1	0
624	chrXIV	635763	635913	635838	635765	635915	635840.0	1	1	0
625	chrXIV	691536	691686	691611				1	0	1
626	chrXIV	713751	713901	713826				0	0	0
627	chrXIV	730626	730776	730701				0	0	0
628	chrXIV	738687	738837	738762				0	0	0
629	chrXIV	759295	759445	759370				0	0	0
630	chrXIV	764295	764445	764370				0	0	0
631	chrXIV	776504	776654	776579				0	0	0
632	chrXV	10845	10995	10920				0	0	0
633	chrXV	18985	19135	19060				0	0	0
634	chrXV	24283	24433	24358				0	0	0
635	chrXV	35712	35862	35787	35690	35840	35765.0	1	1	0
636	chrXV	44751	44901	44826				0	0	0
637	chrXV	72650	72800	72725				1	0	0
638	chrXV	85227	85377	85302				1	1	0
639	chrXV	103527	103677	103602				0	0	0
640	chrXV	113856	114006	113931	113857	114007	113932.0	1	1	0
641	chrXV	129214	129364	129289				0	0	0
642	chrXV	137825	137975	137900				0	0	0
643	chrXV	150229	150379	150304				0	0	0
644	chrXV	155027	155177	155102				0	0	0
645	chrXV	166993	167143	167068	166978	167128	167053.0	1	1	0
646	chrXV	227557	227707	227632	227527	227677	227602.0	0	0	0
647	chrXV	277623	277773	277698	277833	277983	277908.0	1	1	0
648	chrXV	309136	309286	309211	309127	309277	309202.0	1	1	0
649	chrXV	331937	332087	332012	331225	331375	331300.0	0	0	0
650	chrXV	337377	337527	337452	337358	337508	337433.0	1	1	0
651	chrXV	348277	348427	348352				0	0	0
652	chrXV	354625	354775	354700	354627	354777	354702.0	0	0	0
653	chrXV	372070	372220	372145				0	0	0
654	chrXV	389522	389672	389597				0	0	0
655	chrXV	426079	426229	426154				0	0	0
656	chrXV	436758	436908	436833	436674	436824	436749.0	0	0	0
657	chrXV	458595	458745	458670				0	0	0
658	chrXV	464149	464299	464224				0	0	0
659	chrXV	489814	489964	489889				1	1	0
660	chrXV	497153	497303	497228				0	0	0
661	chrXV	520537	520687	520612				0	0	0
662	chrXV	564281	564431	564356				0	0	0
663	chrXV	578440	578590	578515				0	0	0
664	chrXV	600802	600952	600877				1	0	1
665	chrXV	617253	617403	617328				1	0	0
666	chrXV	630653	630803	630728				0	0	0
667	chrXV	646920	647070	646995				0	0	0
668	chrXV	656681	656831	656756				1	0	1
669	chrXV	663661	663811	663736				0	0	0
670	chrXV	670401	670551	670476				0	0	0
671	chrXV	681297	681447	681372				0	0	0
672	chrXV	715363	715513	715438				0	0	0
673	chrXV	729708	729858	729783				1	0	0
674	chrXV	766649	766799	766724				1	0	1
675	chrXV	783317	783467	783392				1	0	1
676	chrXV	800728	800878	800803				0	0	0
677	chrXV	848269	848419	848344				0	0	0
678	chrXV	854992	855142	855067				0	0	0
679	chrXV	874248	874398	874323				1	1	0
680	chrXV	882779	882929	882854				0	0	0
681	chrXV	884225	884375	884300				0	0	0
682	chrXV	898810	898960	898885				0	0	0
683	chrXV	899552	899702	899627				0	0	0
684	chrXV	901703	901853	901778				0	0	0
685	chrXV	902391	902541	902466				0	0	0
686	chrXV	908258	908408	908333				1	1	0
687	chrXV	946017	946167	946092				0	0	0
688	chrXV	981481	981631	981556				1	1	0
689	chrXV	998206	998356	998281				0	0	0
690	chrXV	1012997	1013147	1013072				0	0	0
691	chrXV	1019616	1019766	1019691				0	0	0
692	chrXV	1023252	1023402	1023327				0	0	0
693	chrXV	1025591	1025741	1025666				0	0	0
694	chrXV	1034273	1034423	1034348				0	0	0
695	chrXV	1053644	1053794	1053719	1054052	1054202	1054127.0	0	0	0
696	chrXV	1057837	1057987	1057912				0	0	0
697	chrXV	1059506	1059656	1059581				0	0	0
698	chrXV	1071589	1071739	1071664				0	0	0
699	chrXV	1078131	1078281	1078206				0	0	0
700	chrXV	1083899	1084049	1083974				0	0	0
701	chrXV	1084683	1084833	1084758				0	0	0
702	chrXVI	6303	6453	6378				0	0	0
703	chrXVI	7095	7245	7170				0	0	0
704	chrXVI	12849	12999	12924				0	0	0
705	chrXVI	19106	19256	19181				1	0	0
706	chrXVI	19801	19951	19876				0	0	0
707	chrXVI	25849	25999	25924				0	0	0
708	chrXVI	43101	43251	43176				1	0	1
709	chrXVI	73065	73215	73140				1	1	0
710	chrXVI	90391	90541	90466				0	0	0
711	chrXVI	104669	104819	104744				0	0	0
712	chrXVI	116507	116657	116582				1	0	1
713	chrXVI	153172	153322	153247				0	0	0
714	chrXVI	162439	162589	162514				1	0	1
715	chrXVI	170489	170639	170564				0	0	0
716	chrXVI	171187	171337	171262				0	0	0
717	chrXVI	179073	179223	179148				0	0	0
718	chrXVI	190550	190700	190625				0	0	0
719	chrXVI	203263	203413	203338				0	0	0
720	chrXVI	210746	210896	210821				0	0	0
721	chrXVI	224127	224277	224202				0	0	0
722	chrXVI	241545	241695	241620				0	0	0
723	chrXVI	250498	250648	250573				0	0	0
724	chrXVI	255523	255673	255598				0	0	0
725	chrXVI	261451	261601	261526				1	0	1
726	chrXVI	274330	274480	274405				0	0	0
727	chrXVI	289451	289601	289526				1	1	0
728	chrXVI	298391	298541	298466				0	0	0
729	chrXVI	304337	304487	304412				0	0	0
730	chrXVI	317456	317606	317531				0	0	0
731	chrXVI	323769	323919	323844				0	0	0
732	chrXVI	331769	331919	331844				1	0	0
733	chrXVI	369529	369679	369604				0	0	0
734	chrXVI	377041	377191	377116				0	0	0
735	chrXVI	384523	384673	384598				1	1	0
736	chrXVI	415565	415715	415640				0	0	0
737	chrXVI	418155	418305	418230	418154	418304	418229.0	1	1	0
738	chrXVI	427725	427875	427800				0	0	0
739	chrXVI	439371	439521	439446				0	0	0
740	chrXVI	440913	441063	440988				0	0	0
741	chrXVI	456713	456863	456788				1	0	1
742	chrXVI	467003	467153	467078				0	0	0
743	chrXVI	488443	488593	488518				0	0	0
744	chrXVI	499479	499629	499554				0	0	0
745	chrXVI	511671	511821	511746	511668	511818	511743.0	1	1	0
746	chrXVI	553345	553495	553420	553351	553501	553426.0	0	0	0
747	chrXVI	558383	558533	558458				0	0	0
748	chrXVI	563809	563959	563884	563840	563990	563915.0	1	1	0
749	chrXVI	565076	565226	565151	563840	563990	563915.0	1	0	0
750	chrXVI	568943	569093	569018				0	0	0
751	chrXVI	584276	584426	584351				0	0	0
752	chrXVI	600385	600535	600460				0	0	0
753	chrXVI	603603	603753	603678				0	0	0
754	chrXVI	619999	620149	620074				0	0	0
755	chrXVI	633915	634065	633990	633911	634061	633986.0	1	1	0
756	chrXVI	684323	684473	684398	684375	684525	684450.0	1	0	0
757	chrXVI	695435	695585	695510				1	1	0
758	chrXVI	728809	728959	728884				0	0	0
759	chrXVI	749038	749188	749113				1	0	0
760	chrXVI	776902	777052	776977	776918	777068	776993.0	1	1	0
761	chrXVI	819207	819357	819282				1	1	0
762	chrXVI	824731	824881	824806				0	0	0
763	chrXVI	830839	830989	830914				0	0	0
764	chrXVI	842719	842869	842794				1	1	0
765	chrXVI	864042	864192	864117				0	0	0
766	chrXVI	868342	868492	868417				0	0	0
767	chrXVI	881198	881348	881273				1	0	1
768	chrXVI	909547	909697	909622				0	0	0
769	chrXVI	929661	929811	929736				0	0	0
770	chrXVI	933108	933258	933183				1	0	1
771	chrXVI	942362	942512	942437	942727	942877	942802.5	1	0	1
