,chr,ARS_name,ARS_left,ARS_right,ARS_len,ARS_center,promoter,origin_activity_early,origin_activity_late,Trep_Yabuki2002,Early_late_Yabuki2002,Any_timing_study,Sld3_unsync_bound,Sld3_unsync_signal,MCM_unsync_bound,MCM_unsync_signal,Sld3_G1_bound,Sld3_G1_signal
320,chrXV,ARS1524,783345,783563,218,783454,yes,0.081627024,1.171603591,26.9,late,yes,no,,yes,716615.84,no,
321,chrXV,ARS1526,874251,874412,161,874332,no,0.197270814,5.004005074,23.3,early,yes,no,,yes,807952.05,no,
322,chrXV,ARS1528,908296,908544,248,908420,yes,1.169383638,9.218735313,21.7,early,yes,no,,yes,693722.73,no,
323,chrXV,ARS1529,981462,981697,235,981580,yes,0.325324544,3.959045608,24.5,early,yes,no,,yes,316373.22,no,
325,chrXVI,ARS1604,42977,43212,235,43094,no,0.136221254,2.430713498,27.8,late,yes,no,,yes,533165.72,no,
326,chrXVI,ARS1605,73032,73227,195,73130,yes,0.936178597,8.170518825,23.4,early,yes,no,,yes,655791.92,no,
327,chrXVI,ARS1607,116566,116680,114,116623,yes,0.093964074,2.900378228,28.3,late,yes,no,,yes,836870.29,no,
328,chrXVI,ARS1608,162341,162632,291,162486,no,0.103056521,2.07160117,26.6,late,yes,no,,yes,1234800.93,no,
330,chrXVI,ARS1612,260931,261727,796,261329,yes,0.083919703,2.489733601,27.2,late,yes,no,,yes,519117.33,no,
331,chrXVI,ARS1614,289485,289705,220,289595,yes,0.568513496,6.450351235,22.9,early,yes,no,,yes,677952.26,no,
333,chrXVI,ARS1618,384542,384789,247,384666,no,0.273872554,4.241161912,23.7,early,yes,no,,yes,1024178.9,no,
334,chrXVI,ARS1619,418138,418364,226,418251,yes,2.547805883,8.550522996,20.1,early,yes,no,,yes,726178.38,no,
335,chrXVI,ARS1620,422786,422885,99,422836,no,0.127351886,7.154895482,20.1,early,yes,no,,no,,no,
336,chrXVI,ARS1633,456563,456810,247,456686,no,0.160509497,3.589281534,27.1,late,yes,no,,yes,141016.68,no,
337,chrXVI,ARS1621,511636,511793,157,511714,no,1.716403006,7.319891799,21.2,early,yes,no,,yes,549860.51,no,
338,chrXVI,ARS1622,563852,563967,115,563910,yes,10.39234247,12.2084564,20.5,early,yes,yes,6207.9,yes,694146.77,yes,54.37
340,chrXVI,ARS1623,633874,634122,248,633998,yes,5.309826885,9.854104492,18.2,early,yes,yes,4201.62,yes,276050.37,no,
342,chrXVI,ARS1625,695461,695574,113,695518,no,0.134968817,4.018416384,24.8,early,yes,no,,yes,789832.74,no,
344,chrXVI,ARS1635,776926,777156,230,777041,no,6.666512488,8.052372321,22.0,early,yes,no,,yes,757761.05,yes,44.17
345,chrXVI,ARS1627,819160,819399,239,819280,no,0.738288835,7.589943315,22.8,early,yes,no,,yes,695832.36,no,
346,chrXVI,ARS1628,842653,842900,247,842776,yes,5.223625161,9.612646117,18.7,early,yes,no,,yes,221477.19,no,
347,chrXVI,ARS1629,850512,850629,117,850570,no,0.069719501,0.0,18.7,early,yes,no,,no,,no,
348,chrXVI,ARS1630,880861,881108,247,880984,no,0.079261011,1.552965382,28.6,late,yes,no,,yes,530116.74,no,
349,chrXVI,ARS1631,932983,933229,246,933106,no,0.067402702,2.41448305,26.3,late,yes,no,,yes,329370.01,no,
350,chrXVI,ARS1632,942084,943032,948,942558,yes,0.286890399,6.816737094,26.3,late,yes,no,,yes,1189278.38,yes,78.57
